Tema;Palabras clave;Tipo de tema;Explicación;Asignatura;Jerarquia temática (Mapa/Arbol)
Interacción usuario - computador;No, aplica;Teoríco - Práctico;Se presenta el la utilidad y el manejo que posee el usuario al iteractuar con un equipo pc.;Fundamentos de programación - Programación uno;Interacción usuario - computador, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Console;Componentes, terminales, funcionamiento, ejecución, interfaz.;Teoríco - Práctico;Se define la consola como la herramienta que hace parte del sistema con el que el usuario por medio de comandos por medio de comandos puede interactuar con el equipo pc.;Fundamentos de programación;Console, Interacción usuario - computador, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
GUI;Interfaz, información, acciones, usuario, sistemas operativos.;Teoríco - Práctico;Se define la interfaz gráfica de usuario (GUI) como la interfaz grafica con la que el usuario puede interactuar.;Fundamentos de programación - Programación uno;Gui, Interacción usuario - computador, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Qué es MVC;Arquitectura, software, capas, desarrollar, lenguaje.;Teoríco - Práctico;Se presenta MVC como el patron de arquitectura de software (Modelo,Vista,Controlador) donde se divide principalmente el modelo del negocio.;Fundamentos de programación - Programación uno;Qué es MVC, MVC, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Modelo;Lenguaje, sintaxis, restricciones, clases, atributos.;Teoríco - Práctico;"Se presenta de forma puntual la capa de ""modelo"" del estilo MVC, como aquella capa destinada a la lógica de un aplicativo.";Fundamentos de programación - Programación uno;Modelo, Qué es MVC, MVC, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Vista;Interfaz, información, mecanismo, interacción, datos.;Teoríco - Práctico;"Se presenta de forma puntual la capa de ""vista"" del estilo MVC, como aquella capa destinada a la presentación de un aplicativo (Interfaz de Usuario - Interfaz Gráfica de Usuario).";Fundamentos de programación - Programación uno;Vista, Qué es MVC, MVC, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Controlador;Intermediario, gestión, flujo, información, transformación.;Teoríco - Práctico;"Se presenta de forma puntual la capa de ""controlador"" del estilo MVC, como aquella capa destinada al control de flujo de ejecución de un aplicativo y a la gestión de eventos (acciones internas del aplicativo o generadas por el usuario).";Fundamentos de programación - Programación uno;Controlador, Qué es MVC, MVC, Conceptos y temas, Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Para que sirve MVC;Arquitectura, software, datos, aplicación, lógica.;Teórico;Se explica que el estilo arquitectural MVC permite dividir la lógica, los datos y las funciones de un aplicativo de la presentación de los resultados y la interacción del usuario final con el mismo.;Fundamentos de programación - Programación uno;Para que sirve MVC, Qué es MVC, MVC, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Como estructurar un programa mediante MVC;No, aplica;Teórico;Se exponen los diferentes métodos y procedimientos para el desarrollo de un aplicativo mediante la arquitectura MVC, al igual que se expone lo que se puede y lo que no se puede hacer al momento de utilizar este estilo arquitectural (especialmente por factores como buenas practicas de desarrollo o el simple hecho de que no se este utilizando un estilo arquitectural diferente).;Fundamentos de programación;Como estructurar un programa mediante MVC, Para que sirve MVC, Qué es MVC, MVC, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
POO y MVC;No, aplica;Teoríco - Práctico;Se presenta la relación que existe entre el paradigma POO y el estilo arquitectural MVC, especialmente puesto que las caracteristicas y la lógica misma de la POO permite cumplir con la idea y filosofía del MVC.;Fundamentos de programación;POO y MVC, Para que sirve MVC, Qué es MVC, MVC, Conceptos y temas,  Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Traducción de requerimientos;Restricción, modelo, diccionario, flujo, funcionalidades.;Teoríco - Práctico;"Se enseña a ""traducir"" los requerimientos en operaciones, caracteristicas o elementos de un producto de software, es decir convertir una ""idea"" netamente conceptual en un componente de un aplicativo.";Programación uno;Traducción de requerimientos, Requerimientos, Conceptos y temas
Métodos de identificación de requerimientos;No, aplica;Teoríco - Práctico;"Se exponen los diferentes métodos, procedimientos y ""tips"" para poder identificar y extraer requerimientos ya sea de un enunciado textual o de la conversación con un beneficiario/cliente. Igualmente se establecen las herramientas ingenieriles para una correcta ingeniería de requerimientos.";Programación uno;Métodos de identificación de requerimientos, Identificación de requerimientos, Requerimientos, Conceptos y temas
Diagramas UML;Esquemas, representar, software, programación, procesos.;Teoríco - Práctico;Se define diagramas UML para el modelamiento del software y la creación de la arquitectura de este. UML se puede entender como una técnica y herramienta para la especificación sistemas en todas sus fases siendo un lenguaje visual para especificar, construir y documentar los artefactos de los sistemas.;Programación uno;Diagramas UML, Conceptos y temas
Para que sirven los diagramas;No, aplica;Teórico;Se expone el uso e importancia de los diagramas UML dentro del proceso de desarrollo de software como aquel lenguaje y herramienta que permite diseñar el artefacto desde una perspectiva lógica, conceptual y documental, al igual que estandarizar la comprensión de este desde diferentes enfoques.;Programación uno;Para que sirven los diagramas, Diagramas UML, Conceptos y temas
UML;Representación, esquemas, software, desarrollo, planificación.;Teoríco - Práctico;Se define UML como aquel estándar que se ha adoptado a nivel internacional por numerosos organismos y empresas para crear esquemas, diagramas y documentación relativa a los desarrollos de software.;Programación uno;UML, Diagramas UML, Conceptos y temas
Tipos de diagramas;Casos de uso, clases, secuencia, arquitectura, objetos.;Teórico;Se plantea tipos de diagramas que establece UML para las fases de diseño y planeación del ciclo de desarrollo de software. Igualmente se expone la utilidad particular de cada tipo de diagrama considerando que cada uno esta destinado a presentar, especificar y documentar una perspectiva distinta del artefacto.;Programación uno;Tipos de diagramas, Diagramas UML, Conceptos y temas
Relación: Requerimientos - Diagramas - Código;No, aplica;Teórico;Se define relación entre: Requerimientos, diagramas, código como el flujo lógico entre identificar, extraer y analizar los requerimientos, para luego construir una serie de diagramas, y que finalmente serán traducidos a un artefacto final mediante un proceso de construcción, el cual incluye la codficación.;Programación uno;Relación: Requerimientos - Diagramas - Código, Diagramas UML, Conceptos y temas
Casos de uso;Actores, roles, funcionalidades, procesos, software.;Teoríco - Práctico;Se define casos de uso como la descripción de las actividades que alguien o algo debería hacer.;Programación uno;Casos de uso, Tipos de diagramas, Diagramas UML, Conceptos y temas
Estándares en la documentación;No, aplica;Teórico;Se plantean los estandares de documentación de código fuente en terminos de orden, convenciones, idiomas, buenas practicas y presentación.;Programación uno;Estándares en la documentación, Documentación, Conceptos y temas
Buenas prácticas de documentación;No, aplica;Teórico;Se definen las buenas practicas en la documentación de código a la correcta aplicación de estandares y convenciones al momento de la generación de comentarios o de la utilización de herramientas para documentación tales como JavaDOC o PHPDOC. Igualmente se refiere a la forma en la que se redacta un comentario y a que principalmente se utilice como idioma el ingles o el idioma de la región donde se va a desplegar el código.;Programación uno;Buenas prácticas de documentación, Estándares en la documentación, Documentación, Conceptos y temas
Asignación de responsabilidades;Constructores, modificadores, analizadores, objetos, responsabilidad.;Teoríco - Práctico;Se definen las responsabilidades como las obligaciones o contratos de una clase. Estas se pueden clasificar en dos grandes grupos: La responsabilidad de conocer una información y la responsabilidad de hacer alguna acción. Consecuentemente, se define la asignación de responsabilidades como los mecanismos, estandares o técnicas para determinar y asignar aecuadamente las responsabilidades de una clase particular.;Programación uno;Asignación de responsabilidades, Conceptos y temas
GRASP;Proceso, ejecución, proyecto, riesgos, dependencias.;Teoríco - Práctico;"Se define GRASP como patrones de software para asignación de responsabilidades, siendo GRASP el acrónimo de ""object-oriented design General Responsibility Assignment Software Patterns"". Aunque se considera que más que patrones propiamente dichos, son una serie de buenas prácticas en el diseño de software que se desarrolle bajo el paradigma orientado a objetos. Los patrones GRASP generalmente nacen como la respuesta a una pregunta puntual.";Programación uno;GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Experto;No, aplica;Teoríco - Práctico;El patrón experto responde a la pregunta: ¿Quién es responsable? Indica que la responsabilidad de la creación de un objeto o la implementación de un método, debe recaer sobre la clase que conoce toda la información necesaria para crear aquel objeto o desarrollar dicho método.;Programación uno;Experto, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Creador;No, aplica;Teoríco - Práctico;El patrón creador responde a la pregunta: ¿Quién crea? Ayuda a identificar quién debe ser el responsable de la creación (o instanciación) de nuevos objetos o clases. ;Programación uno;Creador, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Controlador;No, aplica;Teoríco - Práctico;El patrón controlador responde a la pregunta: ¿Quién maneja los eventos de  un sistema? Es un patrón que sirve como intermediario entre una determinada interfaz y el algoritmo que la implementa, de tal forma que es la que recibe los datos del usuario y la que los envía a las distintas clases según el método llamado. Este patrón permite asignar la responsabilidad de controlar el flujo de eventos del sistema, a clases específicas. Igualmente, este patrón es el principal pat´ron GRASP utilizado en el estilo arquitectural MVC.;Programación uno;Controlador, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Alta cohesión;No, aplica;Teoríco - Práctico;El patrón de alta cohesión responde a la pregunta: ¿Cómo mantener una complejidad manejable? Permite que cada elemento de nuestro diseño debe realizar una labor única dentro dl sistema, no desempeñada por el resto de los elementos y que sea auto-identificable. Basicamente dice que dice que la información que almacena una clase debe ser coherente y debe estar (en la medida de lo posible) relacionada con la clase.;Programación uno;Alta cohesión. GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Bajo acoplamiento;No, aplica;Teoríco - Práctico;El patrón de bajo acoplamiento responde a la pregunta: ¿Cómo soportar baja dependencia e incremento de la reutilización? Es la idea de tener las clases lo menos ligadas entre sí que se pueda. De tal forma que en caso de producirse una modificación en alguna de ellas, se tenga la mínima repercusión posible en el resto de clases, potenciando la reutilización, y disminuyendo la dependencia entre las clases.;Programación uno;Bajo acoplamiento, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Ley de Demeter;No, aplica;Teoríco - Práctico;"El patrón de ley de Demeter responde a la pregunta: ¿Cómo evitar tener conocimiento de la estructura de objetos indirectos? Tambien reconocido mediante la frase ""no aceptes caramelos de desconocidos"" la ley de Demeter básicamente es un mecanismo y patrón de asignación de responsabilidades de detección de acoplamiento que viene a decir que un objeto no debería conocer las entrañas de otros objetos con los que interactúa.";Programación uno;Ley de Demeter, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Indirección;No, aplica;Teoríco - Práctico;El patrón de indirección responde a la pregunta: ¿Cómo evitar el acoplamiento directo? Aporta bajar el acoplamiento entre dos clases asignando la responsabilidad de la mediación entre ellos a un tercer elemento (clase) intermedio. En general busca crear clases intermedias para desacoplar clientes de servicio y servicios.;Programación uno;Indirección, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Variaciones protegidas;No, aplica;Teoríco - Práctico;El patrón de variaciones protegidas busca el principio fundamental de protegerse del cambio, de tal forma que todo lo que se prevea en un análisis previo que es susceptible de modificaciones, se envuelva en una interfaz, utilizando el polimorfismo para crear varias implementaciones y posibilitar implementaciones futuras, de manera que quede lo menos ligado posible al sistema, de forma que cuando se produzca la variación, repercuta lo mínimo.;Programación uno;Variaciones protegidas, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Fabricación pura;No, aplica;Teoríco - Práctico;El patrón de fabricación pura responde a la pregunta: ¿Cómo en ocasiones se puede no violar la alta cohesión y bajo acoplamiento? La fabricación pura se da en las clases que no representan un ente u objeto real del dominio del problema, sino que se ha creado intencionadamente para disminuir el acoplamiento, aumentar la cohesión y/o potenciar la reutilización del código. En general se utiliza cuando los problemas se complican, porque se busca construir clases que se encarguen de construir los objetos adecuados en cada momento (factorías).;Programación uno;Fabricación pura, GRASP, Qué es una responsabilidad, Asignación de responsabilidades, Conceptos y temas
Aproximación UEB al MVC;No, aplica;Teoríco - Práctico;Se explica la aproximación particular que se utiliza en la Universidad El Bosque para la implementación del estilo arquitectural MVC.;Programación uno;Aproximación UEB, MVC, Conceptos y temas
Archivos de texto plano;No, aplica;Teoríco - Práctico;Se explica el procedimiento y los factores a considerar para la implementación de la persistencia por medio de archivos de texto plano. Se hace especial enfasis en la gestión de archivos de texto plano, al igual que en su lectura y escritura.;Programación uno;Archivos de texto plano, Persistencia, Conceptos y temas
Archivos de propiedades;No, aplica;Teoríco - Práctico;Se explica el procedimiento y los factores a considerar para la implementación de la persistencia por medio de archivos de propiedades facilitados por la clase Properties de Java. Esta clase permite manipular archivos que almacenen de manera permanente una serie de valores emparejados cada uno de ellos a un nombre, de manera similar a los nombre de variables que almacenan valores en memoria.;Programación uno;Archivos de propiedades, Persistencia, Conceptos y temas
Serialización;No, aplica;Teoríco - Práctico;Se explica la serialización como el proceso de convertir un objeto en una secuencia de bytes para almacenarlo o transmitirlo a la memoria, a una base de datos o a un archivo. Su propósito principal es guardar el estado de un objeto para poder volver a crearlo cuando sea necesario.;Programación uno;Serialización, Persistencia, Conceptos y temas
Deserialización;No, aplica;Teoríco - Práctico;Se explica la deserialización como el proceso opuesto a la serialización en donde se reconstruye el objeto a partir de la información, donde su objetivo es transformar los datos serializados provenientes de un archivo, secuencia o socket de red en un objeto.;Programación uno;Deserialización, Persistencia, Conceptos y temas
Pruebas de software;No, aplica;Teoríco - Práctico;Se define y explica el concepto de pruebas de software, al igual que se introduce este por medio del estudio de casos o ejemplos. Se definen pruebas de software como el proceso de evaluación, validación y verificación de un producto o aplicación de software para saber si hace lo que se supone que debe hacer y que lo hace como estaba planteado y/o pactado. Los beneficios de las pruebas incluyen la prevención de errores, la reducción de los costos de desarrollo y la mejora del rendimiento.;Programación uno;Pruebas de software, Conceptos y temas
Debug;No, aplica;Teoríco - Práctico;Siendo la traducción literal de depurar o depuración. Se define al debug como el proceso de buscar errores o bugs en el código, la lógica o la implementación tecnológica de un programa, de tal forma que se puedan corregir y así evitar posteriores fallos de funcionamiento. El proceso de debug igualmente permite mejorar el rendimiento de un producto de software.;Programación uno;Debug, Pruebas de software, Conceptos y temas
Unitarias;No, aplica;Teoríco - Práctico;Se definen las pruebas unitarias como aquellas pruebas que consisten en aislar una parte del código y comprobar que funciona a la perfección. Son pequeños tests que validan el comportamiento de un objeto y la lógica.;Programación uno;Unitarias, Pruebas, Pruebas de software,  Conceptos y temas
Invariantes;No, aplica;Teoríco - Práctico;Se definen las pruebas invariantes (o pruebas de invariantes) como la utilización de invariantes para verificar el correcto funcionamiento de una función y/o algoritmo. Un invariantes es un valor o condición que se espera que sea consistente durante la ejecución de un proceso. Las invariantes son útiles para probar los resultados de algoritmos y la integridad de los programas de computadora.;Programación uno;Invariantes, Pruebas, Pruebas de software,  Conceptos y temas
Cómo hacer un debug;No, aplica;Teoríco - Práctico;Se explica el proceso, y se enlistan las consideraciones a tener en cuenta para poder desarrollar de forma satisfactoria un debug en un programa informático. Igualmente se presenta la forma de realizar un debug para un programa desarrollado en Java a través del entorno integrado de desarrollo Eclipse.;Programación uno;Cómo hacer un debug, Qué es un debug, Debug, Pruebas de software, Conceptos y temas
Abstracción;No, aplica;Teoríco - Práctico;Se define el concepto de abstracción como la acción que consiste en aislar un elemento de su contexto o del resto de los elementos que lo acompañan. Especificamente poder aislar o separar aquellas características especificas de un objeto, aquellas que lo distinguen de los demás tipos de objetos y que logran definir límites conceptuales respecto a quien está haciendo dicha abstracción del objeto.;Programación uno;Abstracción, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Herencia;Mecanismo, clase, atributos, métodos, jerarquia.;Teoríco - Práctico;Se define el concepto de herencia, como la posibilidad existente en el paradigma POO en la cual una clase permite heredar las características (atributos y métodos) de otra clase, permitiendo que se puedan definir nuevas clases basadas de unas ya existentes a fin de reutilizar el código, generando así una jerarquía de clases dentro de una aplicación.;Programación uno;Herencia, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Polimorfismo;Clase, atributo, parámetro, declaración, código.;Teoríco - Práctico;Se define el concepto de polimorfismo como la posibilidad existente en el paradigma POO frente a que ciertos lenguajes permitan invocar el mismo método desde diferentes objetos y que cada uno de esos objetos pueda responder a esa invocación de forma distinta.;Programación uno;Polimrfismo, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas 
Sobrecarga de métodos;Declaración, implementación, heredar, código, parámetros.;Teoríco - Práctico;Se define el concepto de sobrecarga de métodos como la posibilidad de tener dos o más funciones con el mismo nombre pero funcionalidad diferente. Es decir, dos o más funciones con el mismo nombre pero que realizan acciones diferentes.;Programación uno;Sobrecarga de métodos, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Métodos abstractos;No, aplica;Teoríco - Práctico;Se explica que los métodos abstractos son aquellos métodos que son declarados pero no implementados, es decir, los métodos para los cuales solo se escribe su nombre, parámetros y tipo devuelto pero no su código. ;Programación uno;Métodos abstractos, Clase abstracta, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Interface;No, aplica;Teoríco - Práctico;Se definen las interfaces como aquellas clases que son sintácticamente similares a una clase abstracta, en la que puede especificar uno o más métodos que no tienen cuerpo, donde esos métodos deben ser implementados por una clase para que se definan sus acciones. Por lo anterior, una interfaz especifica qué se debe hacer, pero no cómo hacerlo.;Programación uno;Interface, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Clase abstracta;No, aplica;Teoríco - Práctico;Se definen las clases abstractas como aquellas que por sí mismas no se pueden identificar con algo concreto, es decir, son algo abstracto, no representan algo específico y se pueden usar para crear otras clases, mas no pueden ser instanciadas. A diferencia de las interfaces si pueden contener métodos no abtractos (es decir con cuerpo), pero deben contener al menos un método abstracto.;Programación uno;Clase abstracta, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Representación de la herencia en diagramas;No, aplica;Teórico;Se explica la forma visual (la figura) utilizada para la representación de la herencia en los diagramas de clases. Lo anterior es una continuación lógica tanto del tema de la herencia, como de la profundización en los diagramas UML.;Programación uno;Representación de la herencia en diagramas, Herencia, Nuevos tópicos para el desarrollo de clases y métodos, Conceptos y temas
Algoritmos ;No, aplica;Teoríco - Práctico;Se explica en que consiste un algoritmo tanto de manera conceptual como de forma práctica, se establece la diferencia entre algoritmo y función, y se presentan los primeros algoritmo genéricos o comunmente utilizados en la programación.;Programación uno;Algoritmos, Conceptos y temas
Ordenación;No, aplica;Teoríco - Práctico;Se explican los algoritmos de ordenación como aquellos cuya función es ordenar un conjunto de elementos (normalmente de una lista o un vectos) en función de una relación de orden.;Programación uno;Ordenación, Algoritmos, Conceptos y temas
Búsqueda;No, aplica;Teoríco - Práctico;Se explican los algoritmos de busqueda como aquellos cuya función es buscar un elemento en específico dentro de un conjunto de elementos dados (normalmente una lista o un vector), determinando el elemento correcto en función de un o varias condiciones dadas. En caso de que haya mas de un elemento que cumpla con las condiciones, el algoritmo debería de retornar el primer elemento que cumpla.;Programación uno;Búsqueda, Algoritmos, Conceptos y temas
Selección;No, aplica;Teoríco - Práctico;Se explica o introduce el primer algoritmo de ordenación, enfocado a la ordenación de un conjunto de números, siendo este la ordenación por selección.;Programación uno;Selección, Ordenación, Algoritmos, Conceptos y temas
Burbuja;No, aplica;Teoríco - Práctico;Se explica o introduce el algoritmo de ordenación mas simple (en cuanto a complejidad) de los existentes, enfocado a la ordenación de un conjunto de números, siendo este la ordenación por burbuja.;Programación uno;Burbuja, Ordenación, Algoritmos, Conceptos y temas
Inserción;No, aplica;Teoríco - Práctico;Se explica o introduce el segundo algoritmo de ordenación, enfocado a la ordenación de un conjunto de números, siendo este la ordenación por inserción.;Programación uno;Inserción, Ordenación, Algoritmos, Conceptos y temas
Búsqueda lineal;No, aplica;Teoríco - Práctico;Se explica o introduce el primer algoritmo de búsqueda, el cual sigue el principio natural de revisar, en el orden en que se encuentren, uno a uno cada elemento hasta hallar el primero que satisfaga la o las condiciones dadas.;Programación uno;Búsqueda lineal, Búsqueda, Algoritmos, Conceptos y temas
Búsqueda binaria;No, aplica;Teoríco - Práctico;Se explica o introduce el segundo algoritmo de búsqueda, siendo este el algoritmo de búsqueda binaria.;Programación uno;Búsqueda binaria, Búsqueda, Algoritmos, Conceptos y temas
;;;;;
;;;;;
